geo;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Austria;8254298;8282984;8307989;8335003;8351643;8375164;8408121;8451860;8506889;8576261;8690076;8772865
Belgium;10511382;10584534;10666866;10753080;10839905;11000638;11094850;11161642;11180840;11237274;11311117;11365834
Bulgaria;7629371;7572673;7518002;7467119;7421766;7369431;7327224;7284552;7245677;7202198;7153784;7101859
Croatia;4312487;4313530;4311967;4309796;4302847;4289857;4275984;4262140;4246809;4225316;4190669;4154213
Cyprus;744013;757916;776333;796930;819140;839751;862011;865878;858000;847008;848319;854802
Czech Republic;10223577;10254233;10343422;10425783;10462088;10486731;10505445;10516125;10512419;10538275;10553843;10578820
Denmark;5427459;5447084;5475791;5511451;5534738;5560628;5580516;5602628;5627235;5659715;5707251;5748769
Estonia;1350700;1342920;1338440;1335740;1333290;1329660;1325217;1320174;1315819;1314870;1315944;1315635
Finland;5255580;5276955;5300484;5326314;5351427;5375276;5401267;5426674;5451270;5471753;5487308;5503297
France;63229635;63645065;64007193;64350226;64658856;64978721;65276983;65600350;65942093;66488186;66759950;67024459
Germany;82437995;82314906;82217837;82002356;81802257;80222065;80327900;80523746;80767463;81197537;82175684;82800000
Greece;11004716;11036008;11060937;11094745;11119289;11123392;11086406;11003615;10926807;10858018;10783748;10757293
Hungary;10076581;10066158;10045401;10030975;10014324;9985722;9931925;9908798;9877365;9855571;9830485;9797561
Ireland;4208156;4340118;4457765;4521322;4549428;4570881;4582707;4591087;4605501;4628949;4724720;4774833
Italy;58064214;58223744;58652875;59000586;59190143;59364690;59394207;59685227;60782668;60795612;60665551;60589445
Latvia;2227874;2208840;2191810;2162834;2120504;2074605;2044813;2023825;2001468;1986096;1968957;1950116
Lithuania;3289835;3249983;3212605;3183856;3141976;3052588;3003641;2971905;2943472;2921262;2888558;2847904
Luxembourg;469086;476187;483799;493500;502066;511840;524853;537039;549680;562958;576249;590667
Malta;404999;405616;407832;410926;414027;414989;417546;421364;425384;429344;434403;440433
Netherlands;16334210;16357992;16405399;16485787;16574989;16655799;16730348;16779575;16829289;16900726;16979120;17081507
Poland;38157055;38125479;38115641;38135876;38022869;38062718;38063792;38062535;38017856;38005614;37967209;37972964
Portugal;10511988;10532588;10553339;10563014;10573479;10572721;10542398;10487289;10427301;10374822;10341330;10309573
Romania;21257016;21130503;20635460;20440290;20294683;20199059;20095996;20020074;19947311;19870647;19760314;19638309
Slovakia;5372928;5373180;5376064;5382401;5390410;5392446;5404322;5410836;5415949;5421349;5426252;5435343
Slovenia;2003358;2010377;2010269;2032362;2046976;2050189;2055496;2058821;2061085;2062874;2064188;2065895
Spain;44009971;44784666;45668939;46239273;46486619;46667174;46818219;46727890;46512199;46449565;46440099;46528966
Sweden;9047752;9113257;9182927;9256347;9340682;9415570;9482855;9555893;9644864;9747355;9851017;9995153
United Kingdom;60620361;61073279;61571647;62042343;62510197;63022532;63495303;63905297;64351155;64875165;65382556;65808573